Name_in_SNP_spread,Collection number,Description,Mountain_range,Tidy_label,Retain_for_small_tree,Pretty_order,Determination_verbatim,Determination,Species,Latitude,Longitude,Is_duplicate,Duplicate_details,Order_for_taxa_comparison,Order_glandulosa_taxa,Order_for_MtnRange_and_Location
17,AS 42872,SanBernardinoMtns2nd,SBERN,San_Berns_1_4,FALSE,11,glandulosa sub glandulosa?,glandulosa subsp. glandulosa,glandulosa,34.2275,-117.27528,F,,35,33,50
18,AS 42874,SanBernardinoMtns2nd,SBERN,San_Berns_1_5,FALSE,12,glandulosa sub mollis?glandulosa,glandulosa subsp. mollis,glandulosa,34.2275,-117.27528,F,,87,85,52
19,AS 42875,SanBernardinoMtns2nd,SBERN,San_Berns_1_6,FALSE,13,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,34.2275,-117.27528,F,,36,34,51
20,AS 42876,SanBernardinoMtns3rd,SBERN,San_Berns_2_1,TRUE,14,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,34.19306,-117.15417,F,,37,35,53
21,AS 42877,SanBernardinoMtns3rd,SBERN,San_Berns_2_2,FALSE,15,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,34.19306,-117.15417,F,,38,36,54
22,AS 42878,SanBernardinoMtns3rd,SBERN,San_Berns_2_3,FALSE,16,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,34.19306,-117.15417,F,,39,37,55
23,AS 42879,SanBernardinoMtns3rd,SBERN,San_Berns_2_4,FALSE,17,glandulosa sub glandulosa?mollis,glandulosa subsp. glandulosa,glandulosa,34.19306,-117.15417,F,,40,38,56
51,YH 20,SanJacinto1st,SJAC,San_Jacs_1_1,TRUE,18,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.86194,-116.83778,F,,42,40,67
52,YH 21,SanJacinto1st,SJAC,San_Jacs_1_2,FALSE,19,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.86194,-116.83778,F,,43,41,68
53,YH 22,SanJacinto1st,SJAC,San_Jacs_1_3,FALSE,20,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.86194,-116.83778,F,,44,42,69
54,YH 23,SanJacinto1st,SJAC,San_Jacs_1_4,FALSE,21,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.86194,-116.83778,F,,45,43,70
55,YH 24,SanJacinto1st,SJAC,San_Jacs_1_5,FALSE,22,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.86194,-116.83778,F,,46,44,71
56,YH 25,SanJacinto1st,SJAC,San_Jacs_1_6,FALSE,23,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.86194,-116.83778,F,,47,45,72
PF7,,SanJacinto1st,SJAC,San_Jacs_1_7,FALSE,24,glandulosa subsp. glandulosa,glandulosa subsp. glandulosa,glandulosa,33.86194,-116.83778,F,,58,56,83
46,YH 15,SanJacinto2nd,SJAC,San_Jacs_2_1,TRUE,25,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.81556,-116.79,F,,48,46,73
47,YH 16,SanJacinto2nd,SJAC,San_Jacs_2_2,FALSE,26,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.81556,-116.79,F,,49,47,74
48,YH 17,SanJacinto2nd,SJAC,San_Jacs_2_3,FALSE,27,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.81556,-116.79,F,,50,48,75
49,YH 18,SanJacinto2nd,SJAC,San_Jacs_2_4,FALSE,28,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.81556,-116.79,F,,51,49,76
50,YH 19,SanJacinto2nd,SJAC,San_Jacs_2_5,FALSE,29,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.81556,-116.79,F,,52,50,77
57,YH 27,SanJacinto3rd,SJAC,San_Jacs_3_1,TRUE,30,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.70202,-116.74022,F,,53,51,78
58,YH 28,SanJacinto3rd,SJAC,San_Jacs_3_2,FALSE,31,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.70202,-116.74022,F,,54,52,79
59,YH 29,SanJacinto3rd,SJAC,San_Jacs_3_3,FALSE,32,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.70202,-116.74022,F,,55,53,80
60,YH 30,SanJacinto3rd,SJAC,San_Jacs_3_4,FALSE,33,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.70202,-116.74022,F,,56,54,81
61,YH 31,SanJacinto3rd,SJAC,San_Jacs_3_5,FALSE,34,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,33.70202,-116.74022,F,,57,55,82
24,Av.Escala,Santa Ana 1st,SANA,Santa_Anas_1_1,TRUE,35,glandulosa sub glandulosa?leucophylla,glandulosa subsp. glandulosa,glandulosa,33.51258,-117.34252,F,,28,26,36
25,Avenida Escala(7),Santa Ana 1st,SANA,Santa_Anas_1_2,FALSE,36,glandulosa sub glandulosa?leucophylla,glandulosa subsp. glandulosa,glandulosa,33.51258,-117.34252,F,,29,27,37
26,Avenida Escala(8),Santa Ana 1st,SANA,Santa_Anas_1_3,FALSE,37,glandulosa sub glandulosa?leucophylla,glandulosa subsp. glandulosa,glandulosa,33.51258,-117.34252,F,,30,28,38
43,AS 42673,Santa Ana 2nd,SANA,Santa_Anas_1_4,FALSE,38,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,33.50133,-117.3425,F,,81,79,40
42,AS 42676,Santa Ana 2nd,SANA,Santa_Anas_1_5,FALSE,39,glandulosa sub leucophylla,glandulosa subsp. leucophylla,glandulosa,33.50133,-117.3425,F,,80,78,39
8,AS 42697(no specimen),SantaAnaMtns1st,SANA,Santa_Anas_2_1,TRUE,40,glandulosa sub leucophylla?,glandulosa subsp. leucophylla,glandulosa,33.66115,-117.42637,F,,82,80,41
9,AS 42698,SantaAnaMtns1st,SANA,Santa_Anas_2_2,FALSE,41,glandulosa sub leucophylla?,glandulosa subsp. leucophylla,glandulosa,33.66108,-117.42642,F,,83,81,42
10,AS 42699,SantaAnaMtns1st,SANA,Santa_Anas_2_3,FALSE,42,glandulosa sub leucophylla?,glandulosa subsp. leucophylla,glandulosa,33.66097,-117.42633,F,,84,82,43
11,AS 42700,SantaAnaMtns1st,SANA,Santa_Anas_2_4,FALSE,43,glandulosa sub leucophylla?,glandulosa subsp. leucophylla,glandulosa,33.6613,-117.42645,F,,85,83,44
12,AS 42701,SantaAnaMtns1st,SANA,Santa_Anas_2_5,FALSE,44,glandulosa sub leucophylla?,glandulosa subsp. leucophylla,glandulosa,33.6613,-117.42638,F,,86,84,45
13,AS 42702,SantaAnaMtns2nd,SANA,Santa_Anas_2_6,FALSE,45,glandulosa sub glandulosa?,glandulosa subsp. glandulosa,glandulosa,33.66207,-117.44772,F,,31,29,46
14,AS 42703,SantaAnaMtns2nd,SANA,Santa_Anas_2_7,FALSE,46,glandulosa sub glandulosa?,glandulosa subsp. glandulosa,glandulosa,33.66207,-117.44772,F,,32,30,47
38,YH 10,Palomar Mnt,PM,Palomar_mtn_1,TRUE,47,glandulosa sub leucophylla?glandulosa,glandulosa subsp. leucophylla,glandulosa,33.29855,-116.89017,F,,78,76,30
39,YH 11,Palomar Mnt,PM,Palomar_mtn_2,FALSE,48,glandulosa sub glandulosa?leucophylla,glandulosa subsp. glandulosa,glandulosa,33.29855,-116.89017,F,,25,23,26
40,YH 12,Palomar Mnt,PM,Palomar_mtn_3,FALSE,49,glandulosa sub leucophylla?glandulosa,glandulosa subsp. leucophylla,glandulosa,33.29855,-116.89017,F,,79,77,31
41,YH 14,Palomar Mnt,PM,Palomar_mtn_4,FALSE,50,glandulosa sub glandulosa?leucophylla,glandulosa subsp. glandulosa,glandulosa,33.29855,-116.89017,F,,26,24,27
36,YH 8,Palomar Mnt,PM,Palomar_mtn_5,FALSE,51,glandulosa sub leucophylla?glandulosa,glandulosa subsp. leucophylla,glandulosa,33.29855,-116.89017,F,,76,74,28
37,YH 9,Palomar Mnt,PM,Palomar_mtn_6,FALSE,52,glandulosa sub leucophylla?glandulosa,glandulosa subsp. leucophylla,glandulosa,33.29855,-116.89017,F,,77,75,29
